ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2015-10-13,93.66,95.37,93.55,94.12,19480347.0,0.0,1.0,93.66,95.37,93.55,94.12,19480347.0
FB,2015-10-14,94.08,95.2,93.61,94.07,19253351.0,0.0,1.0,94.08,95.2,93.61,94.07,19253351.0
FB,2015-10-15,94.99,96.3,94.9,95.96,27557516.0,0.0,1.0,94.99,96.3,94.9,95.96,27557516.0
FB,2015-10-16,96.18,97.59,95.35,97.54,25412856.0,0.0,1.0,96.18,97.59,95.35,97.54,25412856.0
FB,2015-10-19,97.18,98.57,96.92,98.47,23729924.0,0.0,1.0,97.18,98.57,96.92,98.47,23729924.0
FB,2015-10-20,98.73,99.59,96.56,97.0,30881777.0,0.0,1.0,98.73,99.59,96.56,97.0,30881777.0
FB,2015-10-21,97.37,98.18,96.47,97.11,22003730.0,0.0,1.0,97.37,98.18,96.47,97.11,22003730.0
FB,2015-10-22,97.79,99.73,97.55,99.67,26392075.0,0.0,1.0,97.79,99.73,97.55,99.67,26392075.0
FB,2015-10-23,101.91,102.85,100.16,102.19,42809661.0,0.0,1.0,101.91,102.85,100.16,102.19,42809661.0
FB,2015-10-26,102.2,103.81,101.55,103.77,25961212.0,0.0,1.0,102.2,103.81,101.55,103.77,25961212.0
FB,2015-10-27,102.94,104.1,102.4,103.7,23795472.0,0.0,1.0,102.94,104.1,102.4,103.7,23795472.0
FB,2015-10-28,103.9,104.48,102.92,104.2,24081515.0,0.0,1.0,103.9,104.48,102.92,104.2,24081515.0
FB,2015-10-29,103.96,105.12,103.52,104.88,20316691.0,0.0,1.0,103.96,105.12,103.52,104.88,20316691.0
FB,2015-10-30,104.51,104.72,101.65,101.97,33487104.0,0.0,1.0,104.51,104.72,101.65,101.97,33487104.0
FB,2015-11-02,102.46,103.47,101.18,103.31,24003944.0,0.0,1.0,102.46,103.47,101.18,103.31,24003944.0
FB,2015-11-03,103.22,103.65,102.4,102.58,21242341.0,0.0,1.0,103.22,103.65,102.4,102.58,21242341.0
FB,2015-11-04,103.19,104.14,102.48,103.94,43469308.0,0.0,1.0,103.19,104.14,102.48,103.94,43469308.0
FB,2015-11-05,108.8,110.65,107.95,108.76,63232861.0,0.0,1.0,108.8,110.65,107.95,108.76,63232861.0
FB,2015-11-06,108.04,108.74,105.91,107.095,35084342.0,0.0,1.0,108.04,108.74,105.91,107.095,35084342.0
FB,2015-11-09,107.0,108.25,105.86,106.49,26383540.0,0.0,1.0,107.0,108.25,105.86,106.49,26383540.0
FB,2015-11-10,105.96,108.15,105.24,107.91,25031681.0,0.0,1.0,105.96,108.15,105.24,107.91,25031681.0
FB,2015-11-11,108.27,109.87,107.11,109.01,25057099.0,0.0,1.0,108.27,109.87,107.11,109.01,25057099.0
FB,2015-11-12,108.48,109.39,108.0,108.02,20924674.0,0.0,1.0,108.48,109.39,108.0,108.02,20924674.0
